_id,additional,firstName,lastName,role,fullName,occupation
6504166ba47588ad6024a70d,,Ludwig,Dessoir,"Hamlet, Sohn des vorigen, und Neffe des gegenwärtigen Königs",Ludwig Dessoir,Schauspieler
6504166ba47588ad6024a712,1853-1927,Serafine,Detschy,Katharina,Serafine Detschy,Schauspieler
6504166ba47588ad6024a714,,Herr,Deuster,Ein Diener Olivias,Herr Deuster,Schauspieler
6504166ba47588ad6024a71e,1938-1952,Sylvia,Devez (verehel. Waniek),"Frau Knubber-Knabber, ein Eichkatzerl",Sylvia Devez (verehel. Waniek),Schauspieler
690c5f4552365fce4c987c79,,William,Devlin,"Aemilius, ein vornehmer Römer",William Devlin,Schauspieler
6504166ba47588ad6024a725,1799-1872,Carl,Devrient,Ringelstern,Carl Devrient,Schauspieler
6504166ba47588ad6024b698,,Eduard,Devrient,Einrichtung,Eduard Devrient,Schauspieler
6504166ba47588ad6024a729,,Emil,Devrient,Lord Harleigh,Emil Devrient,Schauspieler
6504166ba47588ad6024a72a,,Friedrich,Devrient,Laertes,Friedrich Devrient,Schauspieler
6504166ba47588ad6024a710,1858-1929,Max,Devrient,Maurice Duval,Max Devrient,Schauspieler
6504166ba47588ad6024a724,1863-1940,Babette,Devrient-Reinhold,Putzmacherin,Babette Devrient-Reinhold,Schauspieler
67161460f135e6832011b2d9,,,Die Elektrohand Gottes,und, Die Elektrohand Gottes,Schauspieler
